Total Distance
,Activity Type,Value
Jun 2025,Running,40.11
Jun 2025,Swimming,0.28
Jun 2025,Walking,13.96
Jul 2025,Running,3.93
Jul 2025,Walking,8.82
Aug 2025,Running,6.24
Aug 2025,Swimming,0.2
Aug 2025,Walking,8.92
Aug 2025,Hiking,3.32
Sep 2025,Running,14.82
Sep 2025,Swimming,0.5
Sep 2025,Walking,16.05
Oct 2025,Running,25.51
Oct 2025,Swimming,1.4
Oct 2025,Walking,24.38
Oct 2025,Cycling,14.73
Nov 2025,Running,30.27
Nov 2025,Swimming,0.7
Nov 2025,Walking,5.81
Dec 2025,Running,8
Dec 2025,Walking,14.92
