Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
5601059756,"Jul 9, 2021, 5:04:57 PM",Afternoon Ride,Ride,,5489,9.72,,,false,,,activities/5601059756.gpx,,,5489.0,2500.0,9719.0,24.4,3.888,98.1,87.2,284.6,321.4,13.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1625849984.0,2.0,29.0,33.2,23.5,0.72,1018.0,3.5,6.2,296.0,0.0,1625826816.0,1625878272.0,0.0,,,0.0,,0.62,16093.0,7.0,305.6,,,,2.0,1.771,467.4,,,,,,,,,,,,,,,,,media/31903F14-0AAD-4E2F-B690-C89FB1FA710F.jpg|media/E78736A3-19DD-485B-B71C-B04AC53E7984.jpg|media/CCE63053-5CD1-43D7-A727-820A1F1AA62A.jpg|media/C0DD1D84-CD6F-467F-8036-4F2FC9DF25E0.jpg
5607210565,"Jul 10, 2021, 6:08:58 PM",Afternoon Ride,Ride,,11321,14.99,,,false,,,activities/5607210565.gpx,,,11321.0,4864.0,14994.3,8.8,3.083,105.3,105.5,263.5,319.9,47.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1625939968.0,2.0,26.6,28.4,21.0,0.71,1017.7,1.8,3.4,35.0,0.0,1625913344.0,1625964672.0,0.03,,,0.0,,0.53,3005.0,8.0,303.0,,,,,1.324,,,,,,,,,,,,,,,,,,""
5616854810,"Jul 12, 2021, 4:21:24 PM",Lunch Run,Run,,6952,8.09,,,false,,,activities/5616854810.gpx,,,6952.0,2136.0,8089.0,28.4,3.787,92.7,95.0,303.2,354.0,49.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8346.3,1626105600.0,2.0,27.0,28.8,20.9,0.69,1021.8,2.2,4.2,225.0,0.0,1626086144.0,1626137344.0,0.1,,,0.0,,0.72,16093.0,6.0,295.0,,,,,1.164,,,,,,,,,,,,,,,,,,""
5629237618,"Jul 14, 2021, 11:31:53 PM",Evening Hike,Hike,,6626,56.41,,,false,,,activities/5629237618.gpx,,,6626.0,5746.0,56414.6,39.1,9.818,517.2,449.6,239.3,354.0,31.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1626303616.0,2.0,28.8,31.5,21.5,0.65,1021.6,1.3,2.3,226.0,0.0,1626259072.0,1626310272.0,0.17,,,0.0,,0.56,15236.0,1.0,293.5,,,,,8.514,,,,,,,,,,,,,,,,,,""
5638538657,"Jul 15, 2021, 4:49:49 PM",Lunch Run,Run,,105644,5.61,,,false,,,activities/5638538657.gpx,,,105644.0,1747.0,5609.7,26.8,3.211,95.2,95.9,302.1,354.0,34.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5881.0,1626364800.0,1.0,28.9,31.8,21.9,0.66,1022.5,2.3,3.5,309.0,0.0,1626345472.0,1626396544.0,0.2,,,0.0,,0.29,16093.0,8.0,297.4,,,,,0.053,,,,,,,,,,,,,,,,,,""
5638624499,"Jul 16, 2021, 10:10:44 PM",Evening Run,Run,,2010,3.92,,,false,,,activities/5638624499.gpx,,,2010.0,1917.0,3920.4,4.6,2.045,81.1,79.4,301.9,336.3,34.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4160.1,1626472832.0,2.0,32.2,35.1,20.9,0.52,1017.1,1.8,3.5,206.0,0.0,1626431872.0,1626482944.0,0.24,,,0.0,,0.77,16093.0,2.0,294.1,,,,,1.95,,,,,,,,,,,,,,,,,,""
5701486372,"Jul 28, 2021, 3:41:43 PM",Lunch Run,Run,,3316,5.63,,,false,,,activities/5701486372.gpx,,,3316.0,3130.0,5630.3,6.2,1.799,54.5,57.4,303.2,322.8,7.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5718.8,1627484416.0,1.0,28.7,32.8,23.6,0.74,1016.5,1.3,3.6,320.0,0.0,1627469184.0,1627519232.0,0.67,,,0.0,,0.26,16093.0,6.0,303.7,,,,,1.698,,,,,,,,,,,,,,,,,,""
5708731180,"Jul 29, 2021, 11:58:36 PM",Evening Run,Run,"",2709,3.98,,,false,,,activities/5708731180.gpx,,,2709.0,2041.0,3983.2,4.3,1.952,20.6,20.2,301.6,312.0,8.3,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,4.0,0.0,,1.0,4016.3,1627599616.0,1.0,33.5,36.2,20.5,0.47,1014.7,2.3,4.0,303.0,0.0,1627555584.0,1627605632.0,0.7,,,0.0,,0.06,16093.0,1.0,295.3,,,,,1.47,,,,,,,,,,,,,,,,,,media/302A47C3-F866-4A94-8D68-2311C74C33A7.jpg
5713322614,"Jul 30, 2021, 10:47:58 PM",Evening Ride,Ride,,8599,29.30,,,false,,,activities/5713322614.gpx,,,8599.0,7178.0,29304.5,12.8,4.083,294.7,314.5,239.8,329.4,29.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1627682432.0,2.0,32.5,37.5,23.0,0.57,1012.8,3.6,4.9,308.0,0.0,1627642240.0,1627692032.0,0.73,,,0.0,,0.56,16093.0,2.0,296.5,,,,,3.408,,,,,,,,,,,,,,,,,,""
5734832767,"Aug 3, 2021, 10:38:46 PM",Evening Run,Run,,3217,5.12,,,false,,,activities/5734832767.gpx,,,3217.0,2581.0,5121.2,3.9,1.984,86.7,79.1,297.3,341.5,38.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5530.2,1628028032.0,2.0,25.7,26.2,20.2,0.72,1013.4,2.3,3.8,67.0,0.0,1627987840.0,1628037376.0,0.86,,,0.0,,0.79,16093.0,2.0,312.2,,,,,1.592,,,,,,,,,,,,,,,,,,""
